Timestamp,BMP_Temperature_C,BMP_Pressure_hPa,BMP_Altitude_m,DHT_Temperature_C,DHT_Humidity_percent,BH1750_Light_lx
2025-03-18 23:57:14.535547+00:00,0.7,775.025,2204.44580880226,1.8,71,1602.70833333333
2025-03-18 23:57:14.538786+00:00,0.7,774.99,2204.23894133683,1.7,71,1622.08333333333
2025-03-18 23:57:21.052631+00:00,0.65,775.01,2204.70440893921,1.7,71,1618.125
2025-03-18 23:57:26.132805+00:00,0.6,774.995,2204.03207927441,1.7,70,1614.16666666667
2025-03-18 23:57:26.138014+00:00,0.6,774.85,2205.99744799703,1.7,70,1668.75
2025-03-18 23:57:32.395268+00:00,0.6,774.745,2206.35953239886,1.7,70.5,1636.04166666667
2025-03-18 23:57:37.475049+00:00,0.6,774.93,2205.42848640612,1.7,70,1581.45833333333
2025-03-18 23:57:37.478322+00:00,0.6,774.96,2205.27331919036,1.6,70,1600
2025-03-18 23:57:43.854121+00:00,0.6,774.955,2205.42848640612,1.6,70,1583.75
2025-03-18 23:57:48.936714+00:00,0.6,775.015,2204.49753228767,1.6,70,1577.70833333333
2025-03-18 23:57:48.941905+00:00,0.6,775,2204.85955508014,1.6,70,1562.08333333333
2025-03-18 23:57:55.069419+00:00,0.6,774.91,2205.58365362188,1.6,70,1562.29166666667
2025-03-18 23:58:00.153186+00:00,0.6,774.92,2204.39409234114,1.6,70,1556.875
2025-03-18 23:58:00.157625+00:00,0.7,774.94,2204.9629944865,1.6,70,1576.66666666667
2025-03-18 23:58:06.536491+00:00,0.65,774.925,2205.32504429776,1.6,70,1557.29166666667
2025-03-18 23:58:11.614766+00:00,0.6,774.91,2205.22159894681,1.6,70,1556.04166666667
2025-03-18 23:58:11.620068+00:00,0.6,774.97,2206.10089929332,1.6,70,1546.66666666667
2025-03-18 23:58:17.752522+00:00,0.6,774.91,2205.48020827093,1.6,70,1551.25
2025-03-18 23:58:22.836346+00:00,0.6,774.88,2205.42848532523,1.65,70,1527.29166666667
2025-03-18 23:58:22.840319+00:00,0.6,774.91,2205.68710059422,1.6,70,1537.91666666667
2025-03-18 23:58:29.219425+00:00,0.6,774.885,2205.27332783718,1.6,70,1527.08333333333
2025-03-18 23:58:34.305646+00:00,0.6,774.92,2205.73882570182,1.6,70,1528.75
2025-03-18 23:58:34.314137+00:00,0.6,774.94,2204.9629944865,1.6,70,1532.91666666667
2025-03-18 23:58:40.441865+00:00,0.6,774.97,2204.85955508014,1.6,70,1536.04166666667
2025-03-18 23:58:45.526307+00:00,0.6,774.97,2205.01471581086,1.6,70,1511.25
2025-03-18 23:58:45.530336+00:00,0.6,775.08,2203.30809366066,1.6,70,1517.08333333333
2025-03-18 23:58:46.831231+00:00,0.6,775.03,2204.54924334545,1.6,70,1546.66666666667
2025-03-18 23:58:47.961545+00:00,0.6,775.08,2204.03207873413,1.5,70,1520.41666666667
2025-03-18 23:58:50.537515+00:00,0.6,775.05,2204.44580826193,1.6,70,1591.66666666667
2025-03-18 23:58:52.648324+00:00,0.6,774.96,2205.48020773048,1.6,70,1556.25
2025-03-18 23:58:54.760426+00:00,0.6,774.8,2205.89399778176,1.6,70,1504.16666666667
2025-03-18 23:58:56.876997+00:00,0.5,774.97,2205.16987654159,1.5,70,1529.58333333333
2025-03-18 23:59:17.741271+00:00,0.5,774.99,2204.54924334545,1.5,70,1499.16666666667
2025-03-18 23:59:26.291343+00:00,0.5,774.97,2204.70439921279,1.5,70,1492.29166666667
2025-03-18 23:59:31.376347+00:00,0.5,774.98,2204.03207927441,1.4,70,1486.25
